category,order_month,items_sold,revenue,avg_price
baby,2018-08-01 00:00:00,212,21266.57,100.31
housewares,2018-04-01 00:00:00,462,44363.29,96.02
baby,2018-06-01 00:00:00,223,30550.32,137.0
perfumery,2017-11-01 00:00:00,304,31612.13,103.99
furniture_decor,2017-08-01 00:00:00,426,33595.89,78.86
computers_accessories,2018-01-01 00:00:00,688,80503.87,117.01
garden_tools,2018-05-01 00:00:00,288,37700.79,130.91
baby,2017-08-01 00:00:00,127,19160.1,150.87
cool_stuff,2017-11-01 00:00:00,297,55696.66,187.53
health_beauty,2017-07-01 00:00:00,308,34239.45,111.17
auto,2017-02-01 00:00:00,83,12358.78,148.9
cool_stuff,2017-03-01 00:00:00,118,20583.33,174.44
agro_industry_and_commerce,2018-03-01 00:00:00,26,5161.0,198.5
home_construction,2018-06-01 00:00:00,71,9094.59,128.09
pet_shop,2018-05-01 00:00:00,136,11708.46,86.09
luggage_accessories,2018-07-01 00:00:00,54,5821.72,107.81
toys,2018-06-01 00:00:00,190,21094.95,111.03
baby,2017-05-01 00:00:00,102,8933.72,87.59
toys,2017-08-01 00:00:00,182,17675.37,97.12
health_beauty,2017-09-01 00:00:00,376,50649.16,134.71
office_furniture,2018-01-01 00:00:00,142,19485.42,137.22
telephony,2018-03-01 00:00:00,334,24759.43,74.13
computers_accessories,2017-11-01 00:00:00,512,69676.32,136.09
bed_bath_table,2017-06-01 00:00:00,369,33803.23,91.61
health_beauty,2018-03-01 00:00:00,656,84488.57,128.79
watches_gifts,2018-08-01 00:00:00,411,69767.06,169.75
cool_stuff,2017-06-01 00:00:00,199,38109.61,191.51
furniture_decor,2017-05-01 00:00:00,271,22312.54,82.33
kitchen_dining_laundry_garden_furniture,2018-02-01 00:00:00,19,4621.16,243.22
toys,2018-08-01 00:00:00,165,16923.75,102.57
office_furniture,2017-11-01 00:00:00,101,17919.2,177.42
bed_bath_table,2018-01-01 00:00:00,836,75408.13,90.2
computers_accessories,2017-06-01 00:00:00,254,36193.7,142.49
furniture_decor,2018-06-01 00:00:00,402,42042.22,104.58
bed_bath_table,2017-11-01 00:00:00,961,87957.63,91.53
fashion_bags_accessories,2018-08-01 00:00:00,126,8127.53,64.5
stationery,2017-09-01 00:00:00,75,5851.52,78.02
furniture_decor,2018-08-01 00:00:00,430,41168.55,95.74
market_place,2017-08-01 00:00:00,23,1937.39,84.23
fashion_bags_accessories,2017-08-01 00:00:00,95,6438.89,67.78
bed_bath_table,2017-03-01 00:00:00,279,25120.02,90.04
cool_stuff,2018-01-01 00:00:00,296,38942.41,131.56
