category,total_items,share_trend_slope,share_trend_r2
watches_gifts,5857,0.002758,0.801
bed_bath_table,10953,0.001287,0.134
housewares,6795,0.001246,0.19
construction_tools_construction,916,0.001174,0.861
computers_accessories,7643,0.001105,0.111
electronics,2729,0.001104,0.393
auto,4139,0.000901,0.447
stationery,2466,0.000692,0.204
construction_tools_lights,301,0.000676,0.826
home_construction,596,0.000471,0.701
drinks,361,0.000298,0.459
food,499,0.000291,0.269
home_appliances,754,0.000272,0.177
pet_shop,1924,0.000257,0.123
books_technical,263,0.000247,0.627
construction_tools_safety,183,0.000189,0.634
signaling_and_security,197,0.000171,0.451
art,197,0.000166,0.465
musical_instruments,651,0.000156,0.349
baby,2982,0.000139,0.017
costruction_tools_tools,103,8.8e-05,0.402
kitchen_dining_laundry_garden_furniture,274,8.2e-05,0.228
costruction_tools_garden,232,6.7e-05,0.217
food_drink,269,5.6e-05,0.107
agro_industry_and_commerce,206,5.1e-05,0.057
christmas_supplies,150,4.6e-05,0.062
books_general_interest,536,3.2e-05,0.015
industry_commerce_and_business,264,3.1e-05,0.003
home_appliances_2,231,7e-06,0.001
audio,362,-5.6e-05,0.061
fashion_underwear_beach,127,-0.00011,0.349
furniture_bedroom,103,-0.000112,0.113
fashion_male_clothing,125,-0.000137,0.515
computers,199,-0.000196,0.102
fashion_shoes,257,-0.0002,0.343
small_appliances,658,-0.000228,0.252
sports_leisure,8430,-0.000231,0.017
home_confort,429,-0.000234,0.303
furniture_living_room,495,-0.000261,0.319
telephony,4430,-0.000368,0.05
luggage_accessories,1077,-0.000404,0.286
air_conditioning,289,-0.000412,0.244
office_furniture,1668,-0.000527,0.212
consoles_games,1089,-0.000535,0.335
fixed_telephony,255,-0.00063,0.437
garden_tools,4268,-0.000633,0.094
unknown,1537,-0.000643,0.282
market_place,305,-0.000719,0.369
perfumery,3340,-0.001251,0.286
cool_stuff,3718,-0.001355,0.377
toys,4029,-0.001552,0.333
furniture_decor,8160,-0.004635,0.47
health_beauty,9465,-0.009926,0.108
fashion_bags_accessories,1985,-0.011165,0.12
