category,months_active,total_items,avg_monthly_items,demand_volatility_cv,trend_slope_items_per_month,trend_r2
bed_bath_table,21,10953,521.6,0.488,35.247,0.703
health_beauty,22,9465,430.2,0.613,40.915,0.97
sports_leisure,21,8430,401.4,0.472,25.008,0.638
furniture_decor,21,8160,388.6,0.424,19.46,0.511
computers_accessories,21,7643,364.0,0.635,26.726,0.49
housewares,21,6795,323.6,0.54,26.986,0.874
watches_gifts,21,5857,278.9,0.653,28.249,0.882
telephony,21,4430,211.0,0.473,11.994,0.529
garden_tools,21,4268,203.2,0.564,9.536,0.254
auto,21,4139,197.1,0.584,18.247,0.921
toys,21,4029,191.9,0.573,7.027,0.15
cool_stuff,21,3718,177.0,0.462,4.3,0.101
perfumery,21,3340,159.0,0.427,8.765,0.611
baby,21,2982,142.0,0.522,11.531,0.887
electronics,21,2729,130.0,0.787,12.268,0.528
stationery,20,2466,123.3,0.702,10.099,0.452
fashion_bags_accessories,22,1985,90.2,0.49,4.608,0.438
pet_shop,21,1924,91.6,0.555,7.89,0.882
office_furniture,21,1668,79.4,0.561,3.504,0.227
unknown,21,1537,73.2,0.611,1.643,0.049
consoles_games,21,1089,51.9,0.566,1.904,0.154
luggage_accessories,20,1077,53.9,0.431,1.243,0.095
construction_tools_construction,18,916,50.9,0.974,8.96,0.88
home_appliances,19,754,39.7,0.69,3.767,0.568
small_appliances,20,658,32.9,0.402,1.436,0.393
musical_instruments,20,651,32.6,0.527,2.56,0.739
home_construction,19,596,31.4,0.821,4.172,0.787
books_general_interest,20,536,26.8,0.517,1.806,0.564
food,21,499,23.8,1.096,3.286,0.584
furniture_living_room,20,495,24.8,0.435,0.992,0.283
home_confort,19,429,22.6,0.452,-0.072,0.001
audio,20,362,18.1,0.546,1.135,0.439
drinks,17,361,21.2,0.818,2.49,0.493
market_place,21,305,14.5,0.402,-0.227,0.055
construction_tools_lights,14,301,21.5,1.01,4.93,0.837
air_conditioning,21,289,13.8,0.492,0.591,0.28
kitchen_dining_laundry_garden_furniture,20,274,13.7,0.647,1.14,0.55
food_drink,18,269,14.9,0.536,0.926,0.36
industry_commerce_and_business,19,264,13.9,1.093,1.839,0.44
books_technical,19,263,13.8,0.997,2.04,0.656
fashion_shoes,21,257,12.2,0.559,-0.152,0.018
fixed_telephony,21,255,12.1,0.444,-0.131,0.022
costruction_tools_garden,18,232,12.9,0.552,1.067,0.605
home_appliances_2,20,231,11.6,0.611,1.025,0.701
agro_industry_and_commerce,19,206,10.8,0.798,1.105,0.489
computers,13,199,15.3,0.711,-0.33,0.013
art,18,197,10.9,0.939,1.524,0.592
signaling_and_security,18,197,10.9,0.937,1.493,0.571
construction_tools_safety,14,183,13.1,0.599,1.598,0.676
christmas_supplies,16,150,9.4,0.716,0.524,0.129
fashion_underwear_beach,20,127,6.4,0.642,-0.031,0.002
fashion_male_clothing,20,125,6.3,0.679,-0.073,0.01
costruction_tools_tools,14,103,7.4,0.63,0.793,0.475
furniture_bedroom,19,103,5.4,0.569,0.311,0.304
tablets_printing_image,17,83,4.9,0.706,-0.319,0.205
small_appliances_home_oven_and_coffee,11,73,6.6,0.87,1.509,0.683
cine_photo,15,70,4.7,1.04,0.839,0.558
dvds_blu_ray,20,61,3.1,0.6,0.023,0.005
books_imported,14,57,4.1,0.685,0.376,0.295
fashio_female_clothing,16,45,2.8,0.457,0.128,0.211
party_supplies,12,42,3.5,0.972,0.531,0.291
music,14,38,2.7,0.598,0.251,0.387
diapers_and_hygiene,10,37,3.7,0.437,0.188,0.112
furniture_mattress_and_upholstery,11,37,3.4,0.814,0.336,0.151
flowers,9,33,3.7,0.716,-0.583,0.329
home_comfort_2,14,30,2.1,0.554,0.035,0.014
